Id Localidad,Nombre,Id Provincia,Nombre_Normalizado,ZonaId,Descripcion
8697,"BARRIO EL OMBU ,PARTIDO GENERA",2,"BARRIO EL OMBU ,PARTIDO GENERA",2,2 - BUENOS AIRES
8698,BARRIO PARQUE ALVEAR,2,BARRIO PARQUE ALVEAR,2,2 - BUENOS AIRES
8699,BARRIO QUESADA PACHECO,2,BARRIO QUESADA PACHECO,2,2 - BUENOS AIRES
8700,"BARRIO SAN JORGE ,PARTIDO GENE",2,"BARRIO SAN JORGE ,PARTIDO GENE",2,2 - BUENOS AIRES
8701,BARRIO VILLA MAGDALENA,2,BARRIO VILLA MAGDALENA,2,2 - BUENOS AIRES
8702,EL SOL,2,EL SOL,2,2 - BUENOS AIRES
8703,GUADALUPE,2,GUADALUPE,2,2 - BUENOS AIRES
8704,INGENIERO PABLO NOGUES,2,INGENIERO PABLO NOGUES,2,2 - BUENOS AIRES
8705,"KM.34,ING.PABLO NOGUES,PARTIDO",2,"KM.34,ING.PABLO NOGUES,PARTIDO",2,2 - BUENOS AIRES
8708,YAPEYU,2,YAPEYU,2,2 - BUENOS AIRES
8709,PTDO  GRAL. SARMIENT,2,PTDO  GRAL. SARMIENT,2,2 - BUENOS AIRES
8710,BARRIO DEVOTO,2,BARRIO DEVOTO,2,2 - BUENOS AIRES
8711,BARRIO IPARRAGUIRRE,2,BARRIO IPARRAGUIRRE,2,2 - BUENOS AIRES
8712,BARRIO SANTA LUCIA,2,BARRIO SANTA LUCIA,2,2 - BUENOS AIRES
8714,"KM. 36 ,GRAND BOURG, PTDO. GEN",2,"KM. 36 ,GRAND BOURG, PTDO. GEN",2,2 - BUENOS AIRES
8715,"KM. 38 ,PTDO. GENERAL SARMIENT",2,"KM. 38 ,PTDO. GENERAL SARMIENT",2,2 - BUENOS AIRES
8716,BANCALARI,2,BANCALARI,2,2 - BUENOS AIRES
8717,BARRIO ALMIRANTE BROWN,2,BARRIO ALMIRANTE BROWN,2,2 - BUENOS AIRES
8718,BARRIO EL BOYERO,2,BARRIO EL BOYERO,2,2 - BUENOS AIRES
8719,BARRIO EL EMBRUJO,2,BARRIO EL EMBRUJO,2,2 - BUENOS AIRES
8720,BARRIO EL PEREJIL,2,BARRIO EL PEREJIL,2,2 - BUENOS AIRES
8721,BARRIO EL ZORZAL,2,BARRIO EL ZORZAL,2,2 - BUENOS AIRES
